epoch,discriminator_loss,generator_loss,val_discriminator_loss,val_generator_loss
0,1.0443955659866333,0.9138569235801697,3.25791597366333,0.08635877817869186
1,1.0679819583892822,1.0574367046356201,1.2015239000320435,0.7712841033935547
2,1.246410846710205,0.9051498174667358,1.2265986204147339,0.981372058391571
3,1.23786461353302,0.9354512095451355,1.089789628982544,1.016281008720398
4,1.2004363536834717,0.9381433725357056,1.3452386856079102,0.7253808379173279
5,1.1459107398986816,1.015965223312378,1.014937162399292,0.9140923023223877
6,1.128904938697815,1.0967937707901,0.973558783531189,1.1399749517440796
7,1.0880482196807861,1.1011699438095093,1.0758265256881714,1.0430644750595093
8,1.036962866783142,1.230961799621582,0.8599504232406616,1.353123426437378
9,1.071071982383728,1.2067484855651855,0.7590612769126892,1.3665968179702759
10,1.0543347597122192,1.1706889867782593,1.0476268529891968,0.9947152733802795
11,1.0561604499816895,1.2207952737808228,1.094529151916504,1.1537158489227295
12,1.078744649887085,1.187638759613037,0.8776794672012329,1.1169800758361816
13,1.1157097816467285,1.1339099407196045,0.8391132950782776,1.3755295276641846
14,1.1397582292556763,1.1116986274719238,1.0903217792510986,0.9420589208602905
15,1.186462163925171,1.036552906036377,1.0291266441345215,0.9839864373207092
16,1.204559087753296,0.987384557723999,1.031122088432312,1.024511456489563
17,1.202142357826233,1.026078462600708,1.2476603984832764,1.0924370288848877
18,1.2121601104736328,0.9960624575614929,1.1382629871368408,0.8374559283256531
19,1.2175625562667847,0.9513168931007385,1.134990930557251,0.8514301180839539
20,1.2396937608718872,0.9193519949913025,1.0773643255233765,0.9264283776283264
21,1.2290407419204712,0.9535637497901917,1.1593722105026245,1.1951159238815308
22,1.2118934392929077,1.0071314573287964,1.2763735055923462,0.7418888211250305
23,1.2478879690170288,0.9174727201461792,1.2403552532196045,0.8607985973358154
24,1.25327467918396,0.8953763246536255,1.2959182262420654,0.7189238667488098
