epoch,critic_loss,generator_loss,val_critic_loss,val_generator_loss
0,-2.6807503700256348,-14.58056640625,-1.3688409328460693,-15.460833549499512
1,-1.3667811155319214,-15.356483459472656,0.0671631395816803,-10.306941032409668
2,-1.145625352859497,-14.465649604797363,0.15228025615215302,-13.116006851196289
3,-1.0522587299346924,-14.439290046691895,-0.3489930033683777,-15.351584434509277
4,-1.0190476179122925,-13.597799301147461,-0.11668504774570465,-9.348479270935059
5,-0.9752541780471802,-12.343299865722656,-0.04580780863761902,-13.707122802734375
6,-0.9389699101448059,-11.330509185791016,-0.16129936277866364,-11.496624946594238
7,-0.901106595993042,-10.661831855773926,-0.24860629439353943,-10.533232688903809
8,-0.8986896872520447,-9.451854705810547,-0.5766905546188354,-13.317621231079102
9,-0.8612082600593567,-9.516603469848633,-0.24226966500282288,-10.554706573486328
10,-0.8368303775787354,-8.78602123260498,-0.06960465759038925,-9.985838890075684
11,-0.8252870440483093,-8.677783012390137,0.43203112483024597,-8.749115943908691
12,-0.8365329504013062,-7.945367336273193,0.2819208800792694,-8.00477409362793
13,-0.7985345721244812,-7.895522594451904,0.215181365609169,-9.559615135192871
14,-0.7966157793998718,-7.670370578765869,0.006828986573964357,-9.367918968200684
15,-0.7768673300743103,-7.585803985595703,-0.06737182289361954,-6.943806171417236
16,-0.7693210244178772,-6.358386039733887,0.38182970881462097,-6.889871597290039
17,-0.7344827055931091,-7.15669059753418,0.10614559799432755,-7.460119724273682
18,-0.7525531649589539,-6.1987128257751465,-0.2434902936220169,-1.3632489442825317
19,-0.7404394745826721,-6.5650506019592285,0.44195830821990967,-8.10693645477295
20,-0.7482502460479736,-4.869344711303711,0.3941905200481415,-2.7248663902282715
21,-0.7132200002670288,-4.822831153869629,0.47375428676605225,-2.7524068355560303
22,-0.7197731733322144,-5.0410943031311035,0.45625266432762146,-3.97678804397583
23,-0.6861802339553833,-4.961970806121826,0.10769345611333847,-7.631845474243164
24,-0.6855921745300293,-5.135073184967041,0.15029005706310272,-4.181596755981445
25,-0.6831257939338684,-5.543976783752441,0.27667921781539917,-6.964671611785889
26,-0.6721557974815369,-5.052850246429443,0.7463471293449402,-5.157626152038574
27,-0.681376039981842,-4.979175090789795,0.6391658186912537,-3.038538932800293
